Year,Temp_Anomaly_C,Source_Temp
1880,-0.17,NASA GISS Real
1881,-0.08,NASA GISS Real
1882,-0.11,NASA GISS Real
1883,-0.17,NASA GISS Real
1884,-0.28,NASA GISS Real
1885,-0.33,NASA GISS Real
1886,-0.31,NASA GISS Real
1887,-0.36,NASA GISS Real
1888,-0.18,NASA GISS Real
1889,-0.11,NASA GISS Real
1890,-0.36,NASA GISS Real
1891,-0.22,NASA GISS Real
1892,-0.27,NASA GISS Real
1893,-0.31,NASA GISS Real
1894,-0.31,NASA GISS Real
1895,-0.23,NASA GISS Real
1896,-0.12,NASA GISS Real
1897,-0.11,NASA GISS Real
1898,-0.28,NASA GISS Real
1899,-0.18,NASA GISS Real
1900,-0.09,NASA GISS Real
1901,-0.16,NASA GISS Real
1902,-0.28,NASA GISS Real
1903,-0.37,NASA GISS Real
1904,-0.48,NASA GISS Real
1905,-0.26,NASA GISS Real
1906,-0.22,NASA GISS Real
1907,-0.39,NASA GISS Real
1908,-0.43,NASA GISS Real
1909,-0.49,NASA GISS Real
1910,-0.44,NASA GISS Real
1911,-0.45,NASA GISS Real
1912,-0.37,NASA GISS Real
1913,-0.35,NASA GISS Real
1914,-0.16,NASA GISS Real
1915,-0.14,NASA GISS Real
1916,-0.36,NASA GISS Real
1917,-0.46,NASA GISS Real
1918,-0.3,NASA GISS Real
1919,-0.28,NASA GISS Real
1920,-0.28,NASA GISS Real
1921,-0.19,NASA GISS Real
1922,-0.29,NASA GISS Real
1923,-0.27,NASA GISS Real
1924,-0.27,NASA GISS Real
1925,-0.22,NASA GISS Real
1926,-0.11,NASA GISS Real
1927,-0.22,NASA GISS Real
1928,-0.2,NASA GISS Real
1929,-0.36,NASA GISS Real
1930,-0.16,NASA GISS Real
1931,-0.09,NASA GISS Real
1932,-0.16,NASA GISS Real
1933,-0.29,NASA GISS Real
1934,-0.13,NASA GISS Real
1935,-0.2,NASA GISS Real
1936,-0.15,NASA GISS Real
1937,-0.03,NASA GISS Real
1938,0.0,NASA GISS Real
1939,-0.02,NASA GISS Real
1940,0.12,NASA GISS Real
1941,0.18,NASA GISS Real
1942,0.06,NASA GISS Real
1943,0.09,NASA GISS Real
1944,0.2,NASA GISS Real
1945,0.09,NASA GISS Real
1946,-0.07,NASA GISS Real
1947,-0.03,NASA GISS Real
1948,-0.11,NASA GISS Real
1949,-0.11,NASA GISS Real
1950,-0.17,NASA GISS Real
1951,-0.07,NASA GISS Real
1952,0.01,NASA GISS Real
1953,0.08,NASA GISS Real
1954,-0.13,NASA GISS Real
1955,-0.14,NASA GISS Real
1956,-0.19,NASA GISS Real
1957,0.05,NASA GISS Real
1958,0.06,NASA GISS Real
1959,0.03,NASA GISS Real
1960,-0.03,NASA GISS Real
1961,0.06,NASA GISS Real
1962,0.03,NASA GISS Real
1963,0.05,NASA GISS Real
1964,-0.2,NASA GISS Real
1965,-0.11,NASA GISS Real
1966,-0.06,NASA GISS Real
1967,-0.02,NASA GISS Real
1968,-0.08,NASA GISS Real
1969,0.05,NASA GISS Real
1970,0.03,NASA GISS Real
1971,-0.08,NASA GISS Real
1972,0.01,NASA GISS Real
1973,0.16,NASA GISS Real
1974,-0.07,NASA GISS Real
1975,-0.01,NASA GISS Real
1976,-0.1,NASA GISS Real
1977,0.18,NASA GISS Real
1978,0.07,NASA GISS Real
1979,0.16,NASA GISS Real
1980,0.26,NASA GISS Real
1981,0.32,NASA GISS Real
1982,0.14,NASA GISS Real
1983,0.31,NASA GISS Real
1984,0.16,NASA GISS Real
1985,0.12,NASA GISS Real
1986,0.18,NASA GISS Real
1987,0.32,NASA GISS Real
1988,0.39,NASA GISS Real
1989,0.27,NASA GISS Real
1990,0.45,NASA GISS Real
1991,0.4,NASA GISS Real
1992,0.22,NASA GISS Real
1993,0.23,NASA GISS Real
1994,0.31,NASA GISS Real
1995,0.44,NASA GISS Real
1996,0.33,NASA GISS Real
1997,0.46,NASA GISS Real
1998,0.61,NASA GISS Real
1999,0.38,NASA GISS Real
2000,0.39,NASA GISS Real
2001,0.53,NASA GISS Real
2002,0.63,NASA GISS Real
2003,0.61,NASA GISS Real
2004,0.53,NASA GISS Real
2005,0.68,NASA GISS Real
2006,0.64,NASA GISS Real
2007,0.66,NASA GISS Real
2008,0.54,NASA GISS Real
2009,0.65,NASA GISS Real
2010,0.72,NASA GISS Real
2011,0.61,NASA GISS Real
2012,0.64,NASA GISS Real
2013,0.67,NASA GISS Real
2014,0.75,NASA GISS Real
2015,0.89,NASA GISS Real
2016,1.01,NASA GISS Real
2017,0.91,NASA GISS Real
2018,0.85,NASA GISS Real
2019,0.98,NASA GISS Real
2020,1.01,NASA GISS Real
2021,0.85,NASA GISS Real
2022,0.89,NASA GISS Real
2023,1.17,NASA GISS Real
2024,1.28,NASA GISS Real
2025,1.19,NASA GISS Real
